State,County,Total_Accidents,Severe_Accidents
AL,Autauga,1322,251
AL,Baldwin,3016,884
AL,Barbour,126,8
AL,Bibb,120,12
AL,Blount,2920,184
AL,Bullock,79,10
AL,Butler,593,312
AL,Calhoun,399,123
AL,Chambers,204,78
AL,Cherokee,128,9
AL,Chilton,3549,812
AL,Choctaw,27,8
AL,Clarke,39,5
AL,Clay,18,2
AL,Cleburne,409,121
AL,Coffee,403,21
AL,Colbert,326,13
AL,Conecuh,209,77
AL,Coosa,46,9
AL,Covington,90,5
AL,Crenshaw,239,5
AL,Cullman,1819,383
AL,Dale,369,14
AL,Dallas,223,22
AL,De Kalb,1,1
AL,DeKalb,172,53
AL,Dekalb,70,14
AL,Elmore,1530,183
AL,Escambia,312,80
AL,Etowah,215,86
AL,Fayette,52,3
AL,Franklin,22,2
AL,Geneva,136,3
AL,Greene,453,155
AL,Hale,64,12
AL,Henry,101,5
AL,Houston,1977,25
AL,Jackson,159,21
AL,Jefferson,19117,7255
AL,Lamar,41,7
AL,Lauderdale,258,7
AL,Lawrence,98,4
AL,Lee,1199,460
AL,Limestone,3118,915
AL,Lowndes,747,304
AL,Macon,772,454
AL,Madison,10905,1470
AL,Marengo,34,8
AL,Marion,232,52
AL,Marshall,192,8
AL,Mobile,9244,2999
AL,Monroe,34,5
AL,Montgomery,11322,2172
AL,Morgan,1786,276
AL,Perry,28,4
AL,Pickens,102,9
AL,Pike,1316,36
AL,Randolph,21,3
AL,Russell,550,27
AL,Saint Clair,1,0
AL,Shelby,3491,759
AL,St Clair,203,17
AL,St. Clair,811,297
AL,Sumter,294,109
AL,Talladega,464,170
AL,Tallapoosa,101,11
AL,Tuscaloosa,11410,1357
AL,Walker,1071,149
AL,Washington,25,0
AL,Wilcox,36,9
AL,Winston,84,6
AR,Arkansas,71,30
AR,Ashley,107,41
AR,Baxter,55,23
AR,Benton,1035,169
AR,Boone,39,12
AR,Bradley,60,34
AR,Calhoun,49,18
AR,Carroll,104,37
AR,Chicot,100,33
AR,Clark,352,46
AR,Clay,65,23
AR,Cleburne,94,38
AR,Cleveland,115,55
AR,Columbia,66,27
AR,Conway,370,62
AR,Craighead,467,75
AR,Crawford,481,68
AR,Crittenden,1431,242
AR,Cross,18,6
AR,Dallas,68,26
AR,Desha,40,13
AR,Drew,77,31
AR,Faulkner,639,82
AR,Franklin,156,38
AR,Fulton,52,20
AR,Garland,363,66
AR,Grant,93,30
AR,Greene,96,29
AR,Hempstead,196,28
AR,Hot Spring,477,58
AR,Howard,32,16
AR,Independence,126,35
AR,Izard,6,3
AR,Jackson,101,21
AR,Jefferson,482,116
AR,Johnson,241,26
AR,Lafayette,16,7
AR,Lawrence,125,42
AR,Lee,1,0
AR,Lincoln,62,23
AR,Little River,16,5
AR,Logan,26,10
AR,Lonoke,827,113
AR,Madison,97,36
AR,Marion,12,4
AR,Miller,272,51
AR,Mississippi,354,61
AR,Monroe,177,25
AR,Montgomery,53,20
AR,Nevada,75,16
AR,Newton,30,12
AR,Ouachita,138,51
AR,Perry,32,11
AR,Phillips,16,5
AR,Pike,35,12
AR,Poinsett,181,34
AR,Polk,72,25
AR,Pope,295,55
AR,Prairie,347,45
AR,Pulaski,6653,462
AR,Randolph,77,19
AR,Saline,1021,135
AR,Scott,78,28
AR,Searcy,67,18
AR,Sebastian,616,63
AR,Sevier,55,19
AR,Sharp,40,10
AR,St Francis,417,43
AR,St. Francis,431,84
AR,Stone,39,16
AR,Union,94,33
AR,Van Buren,71,25
AR,Washington,1122,125
AR,White,300,54
AR,Woodruff,7,3
AR,Yell,109,27
AZ,Apache,1407,309
AZ,Cochise,525,215
AZ,Coconino,3798,941
AZ,Gila,1435,254
AZ,Graham,211,40
AZ,Greenlee,146,25
AZ,La Paz,1196,374
AZ,Maricopa,106737,15406
AZ,Mohave,2937,573
AZ,Navajo,1353,322
AZ,Pima,40433,1596
AZ,Pinal,4140,1022
AZ,Santa Cruz,33,14
AZ,Yavapai,5478,1340
AZ,Yuma,780,236
CA,Alameda,98553,31512
CA,Alpine,391,17
CA,Amador,2894,40
CA,Butte,6949,108
CA,Calaveras,3664,48
CA,Colusa,1734,121
CA,Contra Costa,51338,10177
CA,Del Norte,1923,25
CA,El Dorado,11255,173
CA,Fresno,31563,797
CA,Glenn,1534,115
CA,Humboldt,6613,49
CA,Imperial,228,18
CA,Inyo,1425,16
CA,Kern,37614,1310
CA,Kings,4775,145
CA,Lake,4613,43
CA,Lassen,2210,37
CA,Los Angeles,526851,117818
CA,Madera,8477,118
CA,Marin,13797,678
CA,Mariposa,1571,16
CA,Mendocino,6993,73
CA,Merced,12659,314
CA,Modoc,677,12
CA,Mono,1648,48
CA,Monterey,19097,289
CA,Napa,8032,257
CA,Nevada,8090,621
CA,Orange,107580,18114
CA,Placer,17846,2486
CA,Plumas,1625,29
CA,Riverside,88248,13129
CA,Sacramento,95377,8476
CA,San Benito,3742,81
CA,San Bernardino,109631,20268
CA,San Diego,104165,21732
CA,San Francisco,17620,4692
CA,San Joaquin,34041,4186
CA,San Luis Obispo,10948,148
CA,San Mateo,30525,3694
CA,Santa Barbara,14170,247
CA,Santa Clara,70482,9775
CA,Santa Cruz,14618,300
CA,Shasta,6842,437
CA,Sierra,450,13
CA,Siskiyou,4119,114
CA,Solano,22198,6941
CA,Sonoma,25435,524
CA,Stanislaus,18809,583
CA,Sutter,3171,79
CA,Tehama,3802,204
CA,Trinity,1622,19
CA,Tulare,17412,1464
CA,Tuolumne,4406,68
CA,Ventura,21276,411
CA,Yolo,9327,2046
CA,Yuba,4778,61
CO,Adams,12825,5534
CO,Alamosa,68,23
CO,Arapahoe,7547,2164
CO,Archuleta,53,19
CO,Baca,121,59
CO,Bent,83,37
CO,Boulder,1185,307
CO,Broomfield,895,247
CO,Chaffee,311,138
CO,Cheyenne,112,54
CO,Clear Creek,1826,727
CO,Conejos,71,18
CO,Costilla,110,35
CO,Crowley,42,20
CO,Custer,139,51
CO,Delta,106,46
CO,Denver,21163,8595
CO,Dolores,76,20
CO,Douglas,5796,2747
CO,Eagle,1802,564
CO,El Paso,10014,2714
CO,Elbert,125,55
CO,Fremont,620,228
CO,Garfield,1581,489
CO,Gilpin,145,60
CO,Grand,229,93
CO,Gunnison,215,87
CO,Hinsdale,8,5
CO,Huerfano,411,194
CO,Jackson,59,29
CO,Jefferson,8226,2221
CO,Kiowa,97,35
CO,Kit Carson,184,61
CO,La Plata,102,34
CO,Lake,140,54
CO,Larimer,2657,1192
CO,Las Animas,495,239
CO,Lincoln,238,111
CO,Logan,229,92
CO,Mesa,668,236
CO,Mineral,148,43
CO,Moffat,98,37
CO,Montezuma,130,45
CO,Montrose,50,24
CO,Morgan,374,172
CO,Otero,299,118
CO,Ouray,73,32
CO,Park,892,328
CO,Phillips,36,14
CO,Pitkin,161,45
CO,Prowers,192,76
CO,Pueblo,2248,909
CO,Rio Blanco,95,48
CO,Rio Grande,68,32
CO,Routt,154,47
