State,Year,Total_Accidents,Severe_Accidents
AL,2016,135,61
AL,2017,2904,1591
AL,2018,14100,5719
AL,2019,19238,5071
AL,2020,20185,4201
AL,2021,23510,4111
AL,2022,20054,2585
AL,2023,918,31
AR,2016,26,9
AR,2017,134,88
AR,2018,598,357
AR,2019,991,435
AR,2020,3090,374
AR,2021,7384,832
AR,2022,9432,1252
AR,2023,1125,157
AZ,2016,2770,826
AZ,2017,12329,3269
AZ,2018,22706,5938
AZ,2019,24529,5027
AZ,2020,29535,2958
AZ,2021,33075,2602
AZ,2022,39423,1918
AZ,2023,6242,129
CA,2016,140452,53390
CA,2017,152748,59437
CA,2018,156898,59989
CA,2019,213455,44776
CA,2020,285532,28324
CA,2021,341876,23663
CA,2022,375913,15503
CA,2023,74559,234
CO,2016,1324,623
CO,2017,7105,2648
CO,2018,14149,6021
CO,2019,17620,9635
CO,2020,13889,6672
CO,2021,11576,3757
CO,2022,20930,3985
CO,2023,4292,469
CT,2016,4210,2095
CT,2017,6742,3642
CT,2018,6421,3567
CT,2019,5457,2839
CT,2020,9341,2923
CT,2021,16172,2937
CT,2022,20171,2391
CT,2023,2491,147
DC,2016,454,191
DC,2017,763,305
DC,2018,955,403
DC,2019,1487,372
DC,2020,2632,555
DC,2021,4685,84
DC,2022,6959,84
DC,2023,695,4
DE,2016,281,170
DE,2017,891,249
DE,2018,1644,324
DE,2019,1620,231
DE,2020,2478,553
DE,2021,3941,325
DE,2022,3088,392
DE,2023,154,23
FL,2016,37060,10969
FL,2017,60706,20610
FL,2018,65781,25755
FL,2019,60313,21740
FL,2020,130362,17791
FL,2021,240608,12842
FL,2022,263119,7194
FL,2023,22243,313
GA,2016,13249,8098
GA,2017,22071,13743
GA,2018,24632,14618
GA,2019,23718,12556
GA,2020,23427,9964
GA,2021,20551,7729
GA,2022,33129,6564
GA,2023,8457,749
IA,2016,2005,962
IA,2017,3016,1641
IA,2018,2483,1411
IA,2019,2842,1650
IA,2020,3649,1345
IA,2021,6951,1334
IA,2022,4891,650
IA,2023,470,30
ID,2016,419,99
ID,2017,368,130
ID,2018,419,42
ID,2019,554,113
ID,2020,2319,148
ID,2021,4763,212
ID,2022,2264,27
ID,2023,270,0
IL,2016,17079,4615
IL,2017,25310,7852
IL,2018,24088,7558
IL,2019,19969,7476
IL,2020,25007,14885
IL,2021,28454,14611
IL,2022,24610,4874
IL,2023,4441,194
IN,2016,1623,884
IN,2017,6947,2378
IN,2018,13708,4229
IN,2019,7772,3830
IN,2020,7806,3749
IN,2021,13376,3427
IN,2022,14499,2822
IN,2023,1493,163
KS,2016,762,163
KS,2017,1737,812
KS,2018,2406,1461
KS,2019,1995,1191
KS,2020,2644,1206
KS,2021,3970,754
KS,2022,6525,524
KS,2023,953,10
KY,2016,1068,404
KY,2017,3282,1747
KY,2018,7952,4553
KY,2019,6832,2983
KY,2020,5568,1620
KY,2021,4765,1515
KY,2022,2713,880
KY,2023,74,6
LA,2016,849,279
LA,2017,12233,2292
LA,2018,20430,4288
LA,2019,18980,3935
LA,2020,26342,3888
LA,2021,33999,3141
LA,2022,33770,1694
LA,2023,3098,3
MA,2016,5200,1726
MA,2017,9046,3494
MA,2018,9427,4088
MA,2019,9349,3785
MA,2020,11101,3131
MA,2021,11464,1915
MA,2022,6281,1019
MA,2023,128,12
MD,2016,7542,4204
MD,2017,12341,7201
MD,2018,11019,6126
MD,2019,12462,5500
MD,2020,24351,6158
MD,2021,32153,3743
MD,2022,37379,3252
MD,2023,3170,158
ME,2016,135,51
ME,2017,591,40
ME,2018,703,18
ME,2019,636,56
ME,2020,281,65
ME,2021,243,128
ME,2022,109,77
MI,2016,16652,5818
MI,2017,27469,11561
MI,2018,24325,10574
MI,2019,20360,8146
MI,2020,15763,4497
MI,2021,23678,4348
MI,2022,28975,2914
MI,2023,4969,265
MN,2016,2567,228
MN,2017,10434,5806
MN,2018,20227,11725
MN,2019,29607,7943
