DayOfWeek,Hour,Sunrise_Sunset,Is_Weekend,Total_Accidents,Severe_Accidents
Friday,0,Night,False,16199,2556
Friday,0,Unknown,False,100,11
Friday,1,Night,False,13943,1911
Friday,1,Unknown,False,86,16
Friday,2,Night,False,13185,1981
Friday,2,Unknown,False,39,5
Friday,3,Night,False,12417,2184
Friday,3,Unknown,False,28,4
Friday,4,Day,False,2,0
Friday,4,Night,False,29333,6240
Friday,4,Unknown,False,73,19
Friday,5,Day,False,1773,434
Friday,5,Night,False,37544,7620
Friday,5,Unknown,False,75,8
Friday,6,Day,False,21032,4513
Friday,6,Night,False,46037,8639
Friday,6,Unknown,False,145,23
Friday,7,Day,False,81758,14596
Friday,7,Night,False,14324,2580
Friday,7,Unknown,False,210,35
Friday,8,Day,False,93898,16501
Friday,8,Night,False,93,12
Friday,8,Unknown,False,229,24
Friday,9,Day,False,59444,11305
Friday,9,Unknown,False,166,15
Friday,10,Day,False,58896,11049
Friday,10,Unknown,False,177,34
Friday,11,Day,False,63997,11363
Friday,11,Unknown,False,191,21
Friday,12,Day,False,65557,11727
Friday,12,Unknown,False,269,27
Friday,13,Day,False,73575,13197
Friday,13,Unknown,False,240,34
Friday,14,Day,False,84633,14846
Friday,14,Unknown,False,193,15
Friday,15,Day,False,100889,19038
Friday,15,Night,False,1,0
Friday,15,Unknown,False,291,22
Friday,16,Day,False,107152,21643
Friday,16,Night,False,3280,692
Friday,16,Unknown,False,323,28
Friday,17,Day,False,80135,17353
Friday,17,Night,False,24488,4345
Friday,17,Unknown,False,321,27
Friday,18,Day,False,42992,10006
Friday,18,Night,False,37347,7158
Friday,18,Unknown,False,221,24
Friday,19,Day,False,18825,4749
Friday,19,Night,False,36524,7445
Friday,19,Unknown,False,140,12
Friday,20,Day,False,3294,880
Friday,20,Night,False,36376,8197
Friday,20,Unknown,False,129,13
Friday,21,Day,False,40,17
Friday,21,Night,False,32661,6804
Friday,21,Unknown,False,101,12
Friday,22,Night,False,29354,6045
Friday,22,Unknown,False,124,17
Friday,23,Night,False,21528,3425
Friday,23,Unknown,False,102,12
Monday,0,Night,False,13841,2383
Monday,0,Unknown,False,54,5
Monday,1,Night,False,11643,1782
Monday,1,Unknown,False,33,6
Monday,2,Night,False,11354,1847
Monday,2,Unknown,False,43,1
Monday,3,Night,False,11289,2020
Monday,3,Unknown,False,27,1
Monday,4,Day,False,1,0
Monday,4,Night,False,26889,5911
Monday,4,Unknown,False,34,3
